date,tempreature,humidity,N,P,K
2024-01-18 04:47:00,35,63,255,255,255
2024-01-18 06:22:00,35,63,255,255,255
2024-01-25 02:46:00,35,66,255,255,255
2024-01-25 02:51:00,35,66,255,255,255
2024-01-25 02:56:00,35,66,255,255,255
2024-01-25 04:16:00,35,67,255,255,255
2024-01-28 02:51:00,35,60,255,255,255
2024-01-28 02:56:00,35,57,255,255,255
2024-02-05 02:40:00,35,59,255,255,255
2024-02-05 02:45:00,35,61,255,255,255
2024-02-07 05:25:00,35,61,255,255,255
2024-02-07 05:30:00,35,62,255,255,255
2024-02-07 05:35:00,35,62,255,255,255
2024-02-07 05:40:00,35,61,255,255,255
2024-02-07 05:50:00,35,59,255,255,255
2024-02-07 05:55:00,35,62,255,255,255
2024-02-07 06:00:00,35,60,255,255,255
2024-02-07 06:05:00,35,61,255,255,255
2024-02-07 06:10:00,35,61,255,255,255
2024-02-08 03:45:00,35,62,255,255,255
2024-02-08 03:50:00,35,63,255,255,255
2024-02-08 03:55:00,35,59,255,255,255
2024-02-08 04:00:00,35,61,255,255,255
2024-02-08 04:05:00,35,61,255,255,255
2024-02-08 04:10:00,35,60,255,255,255
2024-02-08 04:15:00,35,60,255,255,255
2024-02-08 04:20:00,35,61,255,255,255
2024-02-08 05:00:00,35,62,255,255,255
2024-02-08 06:25:00,35,59,255,255,255
2024-02-22 03:43:00,35,61,255,255,255
2024-02-22 03:53:00,35,61,255,255,255
2024-02-22 03:58:00,35,61,255,255,255
2024-02-22 04:03:00,35,62,255,255,255
2024-02-22 04:08:00,35,61,255,255,255
2024-02-22 04:18:00,35,60,255,255,255
2024-02-22 05:03:00,35,60,255,255,255
2024-02-22 05:08:00,35,62,255,255,255
2024-02-22 05:18:00,35,60,255,255,255
2024-02-22 05:23:00,35,60,255,255,255
2024-02-22 05:28:00,35,59,255,255,255
2024-02-22 05:33:00,35,59,255,255,255
2024-02-22 06:03:00,35,60,255,255,255
2024-02-22 06:08:00,35,61,255,255,255
2024-02-22 06:13:00,35,60,255,255,255
2024-02-22 06:18:00,35,60,255,255,255
2024-03-14 06:47:00,35,0,255,255,255
2024-03-14 06:47:00,35,0,255,255,255
2024-03-14 06:48:00,35,0,255,255,255
2024-03-14 06:49:00,35,0,255,255,255
2024-03-14 06:50:00,35,0,255,255,255
2024-03-14 06:51:00,35,0,255,255,255
2024-03-14 06:52:00,35,0,255,255,255
2024-03-28 06:50:00,35,0,255,255,255
2024-03-28 06:51:00,35,0,255,255,255
2024-03-28 06:52:00,35,0,255,255,255
2024-03-28 06:53:00,35,0,255,255,255
2024-03-29 03:29:00,35,0,255,255,255
2024-03-30 05:19:00,35,0,255,255,255
2024-03-30 05:19:00,35,0,255,255,255
2024-03-30 05:19:00,35,0,255,255,255
2024-03-30 05:19:00,35,0,255,255,255
2024-03-30 05:20:00,35,0,255,255,255
2024-03-30 05:20:00,35,0,255,255,255
2023-12-03 05:04:00,34,70,185,190,160
2023-12-03 04:54:00,34,0,185,190,160
2023-12-03 04:39:00,34,58,185,190,160
2023-12-03 04:34:00,34,57,185,190,160
2023-12-04 02:59:00,34,75,185,190,160
2023-12-04 02:54:00,34,74,185,190,160
2023-12-04 02:49:00,34,73,185,190,160
2024-01-01 03:01:00,34,73,178,186,157
2024-01-01 03:16:00,34,72,178,186,157
2024-01-01 03:21:00,34,70,178,186,157
2024-01-01 03:26:00,34,71,178,186,157
2024-01-01 03:31:00,34,72,178,186,157
2024-01-01 03:36:00,34,71,178,186,157
2024-01-01 04:36:00,34,73,178,186,157
2024-01-01 04:51:00,34,71,178,186,157
2024-01-01 05:41:00,34,71,178,186,157
2024-01-01 05:46:00,34,72,178,186,157
2024-01-01 05:51:00,34,72,178,186,157
2024-01-01 05:56:00,34,71,178,186,157
2024-01-14 05:34:00,34,49,255,255,255
2024-01-14 05:36:00,34,48,255,255,255
2024-01-14 05:36:00,34,49,255,255,255
2024-01-14 05:37:00,34,50,255,255,255
2024-01-14 05:37:00,34,50,255,255,255
2024-01-14 05:39:00,34,49,255,255,255
2024-01-14 06:01:00,34,48,255,255,255
2024-01-14 06:02:00,34,47,255,255,255
2024-01-14 06:02:00,34,51,255,255,255
2024-01-14 06:07:00,34,69,255,255,255
2024-01-14 06:07:00,34,71,255,255,255
2024-01-14 06:07:00,34,70,255,255,255
2024-01-14 06:07:00,34,68,255,255,255
2024-01-14 06:08:00,34,68,255,255,255
2024-01-14 06:08:00,34,70,255,255,255
2024-01-14 06:09:00,34,70,255,255,255
2024-01-14 06:09:00,34,60,255,255,255
2024-01-14 06:09:00,34,69,255,255,255
2024-01-14 06:10:00,34,67,255,255,255
2024-01-14 06:10:00,34,66,255,255,255
2024-01-14 06:10:00,34,68,255,255,255
2024-01-14 06:10:00,34,69,255,255,255
2024-01-14 06:11:00,34,67,255,255,255
2024-01-14 06:11:00,34,68,255,255,255
2024-01-14 06:11:00,34,69,255,255,255
2024-01-14 06:11:00,34,70,255,255,255
2024-01-14 06:12:00,34,68,255,255,255
2024-01-14 06:12:00,34,67,255,255,255
2024-01-14 06:12:00,34,70,255,255,255
2024-01-14 06:12:00,34,67,255,255,255
2024-01-14 06:13:00,34,67,255,255,255
2024-01-14 06:13:00,34,69,255,255,255
2024-01-14 06:13:00,34,68,255,255,255
2024-01-14 06:14:00,34,70,255,255,255
2024-01-14 06:14:00,34,67,255,255,255
2024-01-14 06:14:00,34,68,255,255,255
2024-01-14 06:15:00,34,67,255,255,255
2024-01-17 03:47:00,34,62,255,255,255
2024-01-17 04:12:00,34,59,255,255,255
2024-01-17 04:17:00,34,63,255,255,255
2024-01-18 04:07:00,34,64,255,255,255
2024-01-18 04:12:00,34,63,255,255,255
2024-01-18 04:17:00,34,62,255,255,255
2024-01-18 06:27:00,34,63,255,255,255
2024-01-20 04:17:00,34,62,255,255,255
2024-01-21 05:53:00,34,0,255,255,255
2024-01-21 05:54:00,34,0,255,255,255
2024-01-21 05:54:00,34,1,255,255,255
2024-01-21 05:54:00,34,2,255,255,255
2024-01-21 05:55:00,34,0,255,255,255
2024-01-21 05:55:00,34,3,255,255,255
2024-01-21 05:55:00,34,2,255,255,255
2024-01-21 05:55:00,34,1,255,255,255
2024-01-21 05:56:00,34,0,255,255,255
2024-01-21 05:56:00,34,2,255,255,255
2024-01-21 05:56:00,34,3,255,255,255
2024-01-21 05:56:00,34,1,255,255,255
2024-01-21 05:57:00,34,0,255,255,255
2024-01-21 05:57:00,34,2,255,255,255
2024-01-21 05:57:00,34,1,255,255,255
2024-01-21 05:57:00,34,4,255,255,255
2024-01-21 05:58:00,34,0,255,255,255
2024-01-21 05:58:00,34,3,255,255,255
2024-01-21 05:58:00,34,2,255,255,255
2024-01-21 05:58:00,34,4,255,255,255
2024-01-21 05:58:00,34,5,255,255,255
2024-01-21 05:58:00,34,1,255,255,255
2024-01-21 05:59:00,34,4,255,255,255
2024-01-21 05:59:00,34,0,255,255,255
2024-01-21 05:59:00,34,2,255,255,255
2024-01-21 05:59:00,34,1,255,255,255
2024-01-21 06:00:00,34,3,255,255,255
2024-01-21 06:00:00,34,0,255,255,255
2024-01-21 06:00:00,34,2,255,255,255
2024-01-21 06:00:00,34,6,255,255,255
2024-01-21 06:00:00,34,4,255,255,255
2024-01-21 06:00:00,34,1,255,255,255
2024-01-21 06:01:00,34,1,255,255,255
2024-01-21 06:01:00,34,4,255,255,255
2024-01-21 06:01:00,34,0,255,255,255
2024-01-21 06:01:00,34,2,255,255,255
